NDB_No,Shrt_Desc,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.,,,,,,,,,,,
15155,"ABALONE,MIXED SPECIES,RAW",74.56,105,17.1,0.76,1.57,6.01,0,0,31,3.19,48,190,250,301,0.82,0.196,0.04,44.8,2,0.19,0.1,1.5,3,0.15,5,0,5,5,65,0.73,7,2,2,0,0,0,0,0,4,0,0,23,0.149,0.107,0.104,85,,,,,,,,,,,
14006,"ALCOHOLIC BEV,BEER,LT",94.88,29,0.24,0,0.09,1.64,0,0.09,4,0.03,5,12,21,4,0.01,0.006,0.006,0.4,0,0.005,0.015,0.391,0.03,0.034,6,0,6,6,8.8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14003,"ALCOHOLIC BEV,BEER,REG,ALL",91.96,43,0.46,0,0.16,3.55,0,0,4,0.02,6,14,27,4,0.01,0.005,0.008,0.6,0,0.005,0.025,0.513,0.041,0.046,6,0,6,6,10.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",62.1,263,0,0,0,0,0,0,0,0,0,0,0,2,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",66.6,231,0,0,0.01,0,0,0,0,0.12,0,5,2,1,0.07,0.05,0.018,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",86.49,85,0.07,0,0.28,2.61,0,0.62,8,0.46,12,23,127,4,0.14,0.011,0.132,0.2,0,0.005,0.031,0.224,0.03,0.057,1,0,1,1,5.7,0,2,0,0,0,1,0,0,6,0,0,0,0.4,0,0,0,0,,,,,,,,,,,
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",86.86,82,0.07,0,0.2,2.6,0,0.96,9,0.27,10,18,71,5,0.12,0.004,0.117,0.1,0,0.005,0.015,0.108,0.045,0.05,1,0,1,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,,,,,,,,,,,
14253,"ALCOHOLIC BEVERAGES,WINE,ROSE",86.4,83,0.36,0,0.16,3.8,0,3.8,10,0.2,10,18,59,5,0.11,0.005,0.131,0.2,0,0.02,0.015,0.09,0.148,0.037,1,0,1,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
11001,"ALFALFA SEEDS,SPROUTED,RAW",92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0,,,,,,,,,,,
12071,ALMOND PASTE,14.08,458,9,27.74,1.37,47.81,4.8,36.25,172,1.6,130,258,314,9,1.48,0.454,0.856,4.2,0.1,0.082,0.414,1.422,0.113,0.036,73,0,73,73,28.5,0,0,0,0,0,0,0,0,1,13.54,0,0,0,2.629,18.012,5.821,0,,,,,,,,,,,
12061,ALMONDS,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,1.031,2.179,4.1,0,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0,2,0,0,0,1,0,0,1,25.63,0,0,0,3.802,31.551,12.329,0,,,,,,,,,,,
12062,"ALMONDS,BLANCHED",4.51,590,21.4,52.52,2.91,18.67,9.9,4.63,236,3.28,268,481,659,19,2.97,1.027,1.835,3.2,0,0.191,0.711,3.5,0.314,0.115,49,0,49,49,52.1,0,7,0,0,0,4,0,0,1,23.75,0,0,0,3.953,33.415,12.368,0,,,,,,,,,,,
20001,"AMARANTH GRAIN,UNCKD",11.29,371,13.56,7.02,2.88,65.25,6.7,1.69,159,7.61,248,557,508,4,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,1.457,0.591,82,0,82,82,69.8,0,2,0,0,0,1,0,0,28,1.19,0,0,0,1.459,1.685,2.778,0,,,,,,,,,,,
15002,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",50.3,210,28.89,9.71,11.1,0,0,0,232,4.63,69,252,544,3668,2.44,0.339,0.1,68.1,0,0.078,0.363,19.903,0.909,0.203,13,0,13,13,85,0.88,40,12,12,0,0,0,0,0,3.33,1.7,69,12.1,2.203,3.77,2.562,85,,,,,,,,,,,
9400,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",88.24,46,0.1,0.13,0.23,11.3,0.2,9.62,8,0.12,5,7,101,4,0.02,0.012,0.074,0.1,38.5,0.021,0.017,0.073,0.049,0.018,0,0,0,0,1.8,0,1,0,0,0,0,0,0,16,0.01,0,0,0,0.022,0.006,0.039,0,,,,,,,,,,,
9003,"APPLES,RAW,WITH SKIN",85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6,0.12,5,11,107,1,0.04,0.027,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0,54,3,0,0,27,11,0,29,0.18,0,0,2.2,0.028,0.007,0.051,0,,,,,,,,,,,
9036,"APRICOT NECTAR,CND,WO/ VIT C",84.87,56,0.37,0.09,0.29,14.39,0.6,13.79,7,0.38,5,9,114,3,0.09,0.073,0.032,0,0.6,0.009,0.014,0.26,0.096,0.022,1,0,1,1,1,0,1316,66,0,0,786,7,0,14,0.31,0,0,1.2,0.006,0.038,0.017,0,,,,,,,,,,,
9021,"APRICOTS,RAW",86.35,48,1.4,0.39,0.75,11.12,2,9.24,13,0.39,10,23,259,1,0.2,0.078,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,0,9,9,2.8,0,1926,96,0,19,1094,104,0,89,0.89,0,0,3.3,0.027,0.17,0.077,0,,,,,,,,,,,
11007,"ARTICHOKES,(GLOBE OR FRENCH),RAW",84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44,1.28,60,90,370,94,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68,0,68,68,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.036,0.005,0.064,0,,,,,,,,,,,
11959,"ARUGULA,RAW",91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0,2373,119,0,0,1424,0,0,3555,0.43,0,0,108.6,0.086,0.049,0.319,0,,,,,,,,,,,
11011,"ASPARAGUS,RAW",93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,0,52,52,16,0,756,38,0,9,449,0,0,710,1.13,0,0,41.6,0.04,0,0.05,0,,,,,,,,,,,
9037,"AVOCADOS,RAW,ALL COMM VAR",73.23,160,2,14.66,1.58,8.53,6.7,0.66,12,0.55,29,52,485,7,0.64,0.19,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0,146,7,0,24,62,28,0,271,2.07,0,0,21,2.126,9.799,1.816,0,,,,,,,,,,,
16104,"BACON,MEATLESS",48.98,309,11.69,29.52,4.5,5.31,2.6,0,23,2.41,19,70,170,1465,0.42,0.105,0.205,7.4,0,4.4,0.481,7.56,0.113,0.479,42,0,42,42,45,0,88,4,0,0,53,0,0,0,6.9,0,0,0,4.622,7.095,15.441,0,,,,,,,,,,,
18968,"BAGELS,WHEAT",37.55,250,10.2,1.53,1.82,48.89,4.1,6.12,20,2.76,51,142,165,439,1.1,0.175,1.43,28.7,0,0.403,0.209,3.37,0.375,0.147,76,46,31,108,9.8,0,0,0,0,0,2,0,0,88,0.32,0,0,1.5,0,0.29,0.936,0,,,,,,,,,,,
11026,"BAMBOO SHOOTS,RAW",91,27,2.6,0.3,0.9,5.2,2.2,3,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,0,20,1,0,0,12,0,0,0,1,0,0,0,0.069,0.007,0.134,0,,,,,,,,,,,
9040,"BANANAS,RAW",74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,0.078,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0,64,3,0,25,26,0,0,22,0.1,0,0,0.5,0.112,0.032,0.073,0,,,,,,,,,,,
20005,"BARLEY,PEARLED,RAW",10.09,352,9.91,1.16,1.11,77.72,15.6,0.8,29,2.5,79,221,280,9,2.13,0.42,1.322,37.7,0,0.191,0.114,4.604,0.282,0.26,23,0,23,23,37.8,0,22,1,0,0,13,0,0,160,0.02,0,0,2.2,0.244,0.149,0.56,0,,,,,,,,,,,
2044,"BASIL,FRESH",92.06,23,3.15,0.64,1.49,2.65,1.6,0.3,177,3.17,64,56,295,4,0.81,0.385,1.148,0.3,18,0.034,0.076,0.902,0.209,0.155,68,0,68,68,11.4,0,5275,264,0,0,3142,46,0,5650,0.8,0,0,414.8,0.041,0.088,0.389,0,,,,,,,,,,,
16014,"BEANS,BLACK,MATURE SEEDS,RAW",11.02,341,21.6,1.42,3.6,62.36,15.5,2.12,123,5.02,171,352,1483,5,3.65,0.841,1.06,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,444,444,66.4,0,17,0,0,0,0,0,0,0,0.21,0,0,5.6,0.366,0.123,0.61,0,,,,,,,,,,,
16032,"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",11.75,337,22.53,1.06,3.37,61.29,15.2,2.1,83,6.69,138,406,1359,12,2.79,0.699,1.111,3.2,4.5,0.608,0.215,2.11,0.78,0.397,394,0,394,394,65.9,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.154,0.082,0.586,0,,,,,,,,,,,
