,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Energ_Kcal,1,0.495464654,0.637978634,0.355958767,0.022281471,-0.179299462,-0.19658352,0.059455297,0.271942799,0.262339001,0.47447899,0.193540174,0.251528641,0.460060946,0.135274675,-0.135293861,0.355408752,-0.430822444,0.308982556,0.364150815,0.392966277,0.417770905,0.368877374,-0.029904435,0.086498888,-0.042040701,-0.030171042,0.432814427,0.391511818,-0.186450452,0.371989721,-0.285567668,-0.364389486,-0.154804067,-0.108089609,-0.364775493,0.099195004,0.331010127,-0.140035466,0.6264807,0.561846134,0.475810217
Protein_.g.,0.495464654,1,0.548438677,0.516265392,-0.346614284,-0.244512212,-0.488998039,0.151642939,0.455269122,0.440148581,0.740751153,0.350098964,0.436824735,0.677300695,0.224413766,-0.080047832,0.592567977,-0.431615539,0.39530785,0.539553294,0.592146472,0.497504663,0.525711866,0.041761564,0.010901179,0.038175724,0.041495567,0.677287873,0.503671714,-0.152829219,0.364994633,-0.295353771,-0.357148736,-0.340700377,-0.157553433,-0.358038111,0.099365358,0.432614026,-0.099976316,0.475189246,0.513184497,0.478069518
Lipid_Tot_.g.,0.637978634,0.548438677,1,0.361368421,-0.294180941,-0.309098398,-0.370263049,0.069745592,0.280955713,0.217394696,0.486988888,0.132383338,0.392902108,0.502811788,0.070541197,-0.193290412,0.434462257,-0.442105154,0.25247757,0.466200465,0.458453009,0.417621755,0.321165405,-0.015945618,0.000456346,-0.017685083,-0.016212863,0.468087147,0.50625744,-0.060478373,0.476779947,-0.22597678,-0.313568755,-0.127868165,-0.117133198,-0.268082534,0.19283307,0.454161149,-0.090283339,0.789683591,0.760207591,0.584581535
Ash_.g.,0.355958767,0.516265392,0.361368421,1,-0.161703389,-0.080306517,-0.342966367,0.368906284,0.385830948,0.547087047,0.603245399,0.453410475,0.459164559,0.460424357,0.221182946,0.102841501,0.435937179,-0.286095313,0.273335055,0.415468128,0.320691537,0.376306227,0.354738294,0.179475005,-0.040974062,0.18460986,0.179208392,0.473295603,0.309800717,0.035772481,0.325841165,-0.194731145,-0.141283101,-0.275044294,-0.14428496,-0.209644512,0.29883044,0.247414542,0.044787106,0.29692541,0.401912762,0.292158844
Carbohydrt_.g.,0.022281471,-0.346614284,-0.294180941,-0.161703389,1,0.662475714,0.647098907,0.087905834,-0.022823614,-0.017233407,-0.298669932,-9.08E-05,-0.423506496,-0.246196398,0.216460804,0.466740705,-0.403734155,0.34958,-0.011527693,-0.200518443,-0.2585433,-0.171828773,-0.158157227,0.249854955,0.099413902,0.236842467,0.250129571,-0.355892705,-0.609665442,0.016376131,-0.463804279,0.185599799,0.300218656,0.19897981,0.068540601,0.252448515,-0.086315443,-0.573163135,0.183040956,-0.280529896,-0.267696863,-0.571903017
Fiber_TD_.g.,-0.179299462,-0.244512212,-0.309098398,-0.080306517,0.662475714,1,0.507183069,0.147552082,0.062513321,0.078549704,-0.232064334,0.150919884,-0.408306673,-0.178000345,0.27837347,0.556280959,-0.377473922,0.403544514,0.045741394,-0.147620856,-0.189744884,-0.145646037,-0.096106885,0.360988992,-0.000492942,0.362047937,0.360700316,-0.26133521,-0.65780398,0.052078821,-0.575156798,0.231812326,0.38090867,0.104882948,0.010895317,0.361408621,-0.022611776,-0.557117869,0.342819456,-0.350918855,-0.211719352,-0.655439397
Sugar_Tot_.g.,-0.19658352,-0.488998039,-0.370263049,-0.342966367,0.647098907,0.507183069,1,-0.002741032,-0.212255237,-0.219679483,-0.460916403,-0.126377533,-0.53514877,-0.412935026,0.006139712,0.261122037,-0.565972386,0.438738886,-0.144957719,-0.276091596,-0.411894486,-0.304717743,-0.297695399,0.164393573,-0.034295841,0.170971801,0.164114624,-0.502685139,-0.606827671,0.131954345,-0.464613972,0.292530751,0.420349892,0.309182449,0.130413628,0.361008393,-0.146884614,-0.510683215,0.176830078,-0.333001788,-0.349670552,-0.566355098
Calcium_.mg.,0.059455297,0.151642939,0.069745592,0.368906284,0.087905834,0.147552082,-0.002741032,1,0.27485503,0.292134638,0.183904312,0.137400091,0.177841162,0.190219018,0.147554524,0.28095389,0.113749948,0.038316541,0.093522648,0.176243779,-0.107589907,0.114325614,0.037412397,0.322592261,0.018316119,0.321071097,0.322324105,0.132763917,-0.042970793,0.185557574,0.067949491,-0.025626981,0.143226465,-0.124201334,-0.066765108,0.077254981,0.142670519,-0.075522477,0.219431185,0.034784902,0.093262181,-0.021431264
Iron_.mg.,0.271942799,0.455269122,0.280955713,0.385830948,-0.022823614,0.062513321,-0.212255237,0.27485503,1,0.447557926,0.397368849,0.345031643,0.228562322,0.525639648,0.461609763,0.261142157,0.306746232,-0.13683055,0.421938187,0.456576348,0.338658516,0.349843957,0.35432315,0.253282091,0.08284403,0.240963535,0.253015525,0.38174454,0.159461635,-0.053894834,0.037065204,-0.106519375,-0.092129115,-0.19874629,-0.115375135,-0.085434426,0.137444812,0.038102852,0.153483634,0.198562204,0.319130396,0.12978196
Magnesium_.mg.,0.262339001,0.440148581,0.217394696,0.547087047,-0.017233407,0.078549704,-0.219679483,0.292134638,0.447557926,1,0.447170659,0.479151432,0.21626773,0.398548801,0.358056845,0.282076696,0.339813887,-0.122754628,0.352770029,0.32380546,0.380038991,0.354953597,0.381661883,0.275638264,0.026685602,0.271767835,0.275368823,0.38864866,0.112832724,-0.041297156,0.060818983,-0.080751213,-0.12252484,-0.253715272,-0.12777305,-0.135301514,0.185608992,0.087378244,0.097172535,0.160580935,0.281126882,0.062567095
