0.1367172,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Energ_Kcal,1.000,0.535,0.806,0.491,0.386,0.283,-0.191,0.277,0.427,0.436,0.560,0.372,0.308,0.209,0.299,0.248,0.205,-0.304,0.447,0.319,0.312,0.339,0.272,0.377,0.131,0.361,0.384,0.316,0.065,-0.101,0.171,-0.079,-0.151,-0.139,-0.088,-0.160,0.155,0.038,-0.157,0.759,0.652,0.221
Protein_.g.,0.535,1.000,0.271,0.526,0.026,0.067,-0.445,0.222,0.499,0.454,0.859,0.446,0.240,0.313,0.337,0.144,0.668,-0.406,0.477,0.504,0.653,0.477,0.609,0.309,-0.016,0.313,0.303,0.654,0.373,-0.164,0.115,-0.105,-0.198,-0.216,-0.116,-0.174,0.066,0.220,-0.168,0.278,0.379,0.265
Lipid_Tot_.g.,0.806,0.271,1.000,0.261,-0.143,-0.100,-0.222,0.218,0.074,0.067,0.233,0.023,0.419,0.098,0.048,0.001,0.103,-0.206,0.096,0.222,0.187,0.164,0.041,0.005,-0.026,0.009,0.003,0.170,0.069,-0.030,0.229,-0.049,-0.096,-0.089,-0.052,-0.089,0.218,0.057,-0.086,0.952,0.674,0.298
Ash_.g.,0.491,0.526,0.261,1.000,0.276,0.381,-0.207,0.666,0.561,0.642,0.660,0.566,0.600,0.184,0.428,0.287,0.203,-0.214,0.421,0.456,0.106,0.341,0.262,0.551,-0.037,0.559,0.539,0.278,0.093,0.038,0.071,-0.027,0.026,-0.150,-0.105,0.053,0.147,0.012,0.086,0.181,0.285,0.064
Carbohydrt_.g.,0.386,0.026,-0.143,0.276,1.000,0.745,0.263,0.087,0.455,0.553,0.264,0.465,-0.209,0.070,0.340,0.445,-0.170,-0.020,0.500,-0.010,-0.084,0.134,0.101,0.569,0.283,0.532,0.587,-0.054,-0.231,-0.045,-0.102,-0.013,-0.016,-0.006,-0.022,-0.061,-0.048,-0.160,-0.059,-0.162,0.033,-0.216
Fiber_TD_.g.,0.283,0.067,-0.100,0.381,0.745,1.000,0.266,0.191,0.545,0.665,0.280,0.643,-0.239,0.056,0.412,0.423,-0.234,0.036,0.508,0.067,-0.116,0.114,0.065,0.679,-0.018,0.686,0.667,-0.003,-0.259,0.092,-0.111,0.006,0.134,-0.013,-0.044,0.041,0.055,-0.148,0.066,-0.100,0.138,-0.234
Sugar_Tot_.g.,-0.191,-0.445,-0.222,-0.207,0.263,0.266,1.000,-0.059,-0.072,0.024,-0.356,0.022,-0.281,-0.173,0.015,0.147,-0.485,0.266,-0.071,-0.193,-0.387,-0.260,-0.307,0.098,-0.052,0.106,0.092,-0.349,-0.312,0.010,-0.130,0.036,0.041,0.278,0.097,-0.085,-0.043,-0.196,-0.096,-0.239,-0.070,-0.262
Calcium_.mg.,0.277,0.222,0.218,0.666,0.087,0.191,-0.059,1.000,0.255,0.307,0.370,0.235,0.552,0.112,0.198,0.108,-0.014,-0.063,0.104,0.362,-0.158,0.116,0.053,0.245,-0.016,0.249,0.240,0.016,-0.023,0.237,0.045,0.012,0.243,-0.050,-0.054,0.164,0.060,-0.078,0.189,0.128,0.130,0.038
Iron_.mg.,0.427,0.499,0.074,0.561,0.455,0.545,-0.072,0.255,1.000,0.708,0.593,0.695,-0.039,0.349,0.616,0.325,0.204,-0.126,0.622,0.539,0.157,0.474,0.326,0.756,0.105,0.746,0.754,0.469,0.262,0.073,0.217,-0.032,0.017,-0.096,-0.069,0.044,0.106,-0.083,0.068,0.062,0.357,0.160
Magnesium_.mg.,0.436,0.454,0.067,0.642,0.553,0.665,0.024,0.307,0.708,1.000,0.631,0.834,-0.040,0.183,0.668,0.346,0.085,-0.119,0.605,0.379,0.151,0.274,0.238,0.637,-0.012,0.643,0.626,0.279,-0.037,0.023,-0.050,-0.036,0.046,-0.088,-0.056,0.052,0.176,-0.028,0.088,0.041,0.466,-0.099
