,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Energ_Kcal,1.000,0.701,0.808,0.519,-0.114,-0.265,-0.385,0.083,0.386,0.382,0.695,0.275,0.403,0.652,0.198,-0.178,0.570,-0.619,0.443,0.524,0.555,0.589,0.549,-0.029,0.105,-0.048,-0.029,0.641,0.528,-0.266,0.468,-0.369,-0.512,-0.202,-0.132,-0.480,0.142,0.440,-0.224,0.796,0.757,0.588
Protein_.g.,0.701,1.000,0.753,0.702,-0.458,-0.383,-0.650,0.217,0.616,0.610,0.908,0.491,0.622,0.856,0.295,-0.159,0.793,-0.631,0.549,0.739,0.774,0.699,0.719,0.047,0.013,0.043,0.047,0.858,0.668,-0.227,0.487,-0.398,-0.531,-0.442,-0.193,-0.534,0.162,0.584,-0.165,0.683,0.713,0.634
Lipid_Tot_.g.,0.808,0.753,1.000,0.543,-0.464,-0.467,-0.555,0.101,0.411,0.327,0.713,0.204,0.567,0.702,0.100,-0.320,0.645,-0.636,0.370,0.654,0.603,0.610,0.481,-0.030,0.001,-0.032,-0.031,0.687,0.684,-0.092,0.598,-0.298,-0.462,-0.171,-0.143,-0.382,0.278,0.597,-0.147,0.922,0.918,0.735
Ash_.g.,0.519,0.702,0.543,1.000,-0.222,-0.118,-0.490,0.517,0.523,0.713,0.763,0.570,0.639,0.630,0.307,0.134,0.589,-0.419,0.370,0.572,0.461,0.529,0.504,0.265,-0.050,0.273,0.265,0.667,0.405,0.045,0.418,-0.268,-0.210,-0.360,-0.177,-0.304,0.433,0.308,0.072,0.452,0.575,0.395
Carbohydrt_.g.,-0.114,-0.458,-0.464,-0.222,1.000,0.834,0.806,0.133,-0.023,0.012,-0.388,0.019,-0.645,-0.326,0.312,0.641,-0.577,0.503,-0.001,-0.305,-0.405,-0.244,-0.235,0.358,0.119,0.339,0.358,-0.485,-0.792,0.023,-0.619,0.236,0.431,0.245,0.083,0.363,-0.135,-0.727,0.276,-0.465,-0.390,-0.776
Fiber_TD_.g.,-0.265,-0.383,-0.467,-0.118,0.834,1.000,0.696,0.204,0.074,0.124,-0.339,0.216,-0.609,-0.262,0.370,0.717,-0.572,0.554,0.070,-0.227,-0.308,-0.203,-0.158,0.482,-0.001,0.483,0.482,-0.401,-0.836,0.064,-0.718,0.274,0.510,0.125,0.014,0.449,-0.027,-0.698,0.480,-0.513,-0.323,-0.834
Sugar_Tot_.g.,-0.385,-0.650,-0.555,-0.490,0.806,0.696,1.000,-0.014,-0.308,-0.316,-0.613,-0.191,-0.738,-0.563,0.003,0.402,-0.758,0.617,-0.205,-0.402,-0.589,-0.442,-0.426,0.241,-0.041,0.248,0.241,-0.661,-0.782,0.195,-0.606,0.372,0.581,0.385,0.156,0.512,-0.223,-0.652,0.261,-0.522,-0.512,-0.760
Calcium_.mg.,0.083,0.217,0.101,0.517,0.133,0.204,-0.014,1.000,0.386,0.411,0.259,0.193,0.258,0.275,0.206,0.397,0.151,0.053,0.134,0.243,-0.158,0.164,0.046,0.451,0.022,0.448,0.450,0.184,-0.057,0.271,0.087,-0.031,0.201,-0.159,-0.080,0.101,0.205,-0.094,0.310,0.046,0.142,-0.029
Iron_.mg.,0.386,0.616,0.411,0.523,-0.023,0.074,-0.308,0.386,1.000,0.615,0.536,0.480,0.314,0.716,0.630,0.359,0.433,-0.202,0.577,0.634,0.491,0.502,0.502,0.353,0.101,0.337,0.353,0.538,0.207,-0.084,0.048,-0.143,-0.140,-0.260,-0.141,-0.123,0.202,0.057,0.226,0.298,0.455,0.172
Magnesium_.mg.,0.382,0.610,0.327,0.713,0.012,0.124,-0.316,0.411,0.615,1.000,0.609,0.633,0.337,0.555,0.500,0.392,0.471,-0.187,0.483,0.460,0.530,0.495,0.537,0.382,0.032,0.377,0.382,0.544,0.151,-0.062,0.077,-0.107,-0.165,-0.325,-0.155,-0.180,0.274,0.101,0.148,0.250,0.402,0.096
Phosphorus_.mg.,0.695,0.908,0.713,0.763,-0.388,-0.339,-0.613,0.259,0.536,0.609,1.000,0.481,0.619,0.807,0.252,-0.100,0.781,-0.637,0.532,0.677,0.696,0.696,0.679,0.117,0.013,0.113,0.116,0.848,0.632,-0.196,0.540,-0.404,-0.515,-0.416,-0.155,-0.490,0.259,0.577,-0.190,0.649,0.720,0.601
Potassium_.mg.,0.275,0.491,0.204,0.570,0.019,0.216,-0.191,0.193,0.480,0.633,0.481,1.000,0.172,0.421,0.445,0.287,0.281,-0.038,0.539,0.403,0.507,0.381,0.604,0.276,-0.099,0.292,0.275,0.458,0.040,-0.118,-0.086,-0.123,-0.092,-0.299,-0.101,-0.096,0.250,0.042,0.142,0.126,0.271,-0.026
Sodium_.mg.,0.403,0.622,0.567,0.639,-0.645,-0.609,-0.738,0.258,0.314,0.337,0.619,0.172,1.000,0.530,-0.028,-0.325,0.679,-0.563,0.139,0.490,0.407,0.428,0.387,-0.067,-0.048,-0.059,-0.067,0.667,0.717,0.001,0.648,-0.317,-0.392,-0.343,-0.105,-0.422,0.258,0.563,-0.140,0.523,0.510,0.739
