ZZD
XXClassif-3	3	1
Classification hiérarchique (voisins réciproques)
Sur les   11 premiers axes factoriels
Description des   50 noeuds d'indices les plus élevés
Numéro	Ainé	Benjamin	Nb d'éléments terminaux du noeud	Poids du noeud	Indice de niveau
 378	     283	       9	       4	        0.400000E+01	        0.338446E-01
 379	     361	     342	      14	        0.140000E+02	        0.338680E-01
 380	     370	     358	       7	        0.700000E+01	        0.384836E-01
 381	     191	     236	       3	        0.300000E+01	        0.390852E-01
 382	     374	     301	      47	        0.470000E+02	        0.397906E-01
 383	     348	     346	      21	        0.210000E+02	        0.408043E-01
 384	     379	     316	      17	        0.170000E+02	        0.419385E-01
 385	     355	     193	       5	        0.500000E+01	        0.435474E-01
 386	     350	     353	       5	        0.500000E+01	        0.436038E-01
 387	     371	     375	      34	        0.340000E+02	        0.457805E-01
 388	     380	     354	       9	        0.900000E+01	        0.484259E-01
 389	     376	     132	       3	        0.300000E+01	        0.490619E-01
 390	     383	     100	      22	        0.220000E+02	        0.496552E-01
 391	     363	     152	       3	        0.300000E+01	        0.543168E-01
 392	     334	      67	       3	        0.300000E+01	        0.596514E-01
 393	     357	       5	       5	        0.500000E+01	        0.618734E-01
 394	     366	     331	       9	        0.900000E+01	        0.650667E-01
 395	     368	     367	       7	        0.700000E+01	        0.668138E-01
 396	     385	     210	       6	        0.600000E+01	        0.758798E-01
 397	     362	     117	       3	        0.300000E+01	        0.892338E-01
 398	     384	     372	      23	        0.230000E+02	        0.895420E-01
 399	     393	     129	       6	        0.600000E+01	        0.939582E-01
 400	     387	     220	      36	        0.360000E+02	        0.101562E+00
 401	     394	      66	      10	        0.100000E+02	        0.106564E+00
 402	     388	     326	      11	        0.110000E+02	        0.106890E+00
 403	     395	     171	       8	        0.800000E+01	        0.109183E+00
 404	     396	     381	       9	        0.900000E+01	        0.116401E+00
 405	     392	     266	       5	        0.500000E+01	        0.134330E+00
 406	     390	     340	      27	        0.270000E+02	        0.156775E+00
 407	     397	     138	       4	        0.400000E+01	        0.186234E+00
 408	     398	     373	      28	        0.280000E+02	        0.189151E+00
 409	     403	     391	      11	        0.110000E+02	        0.213666E+00
 410	     382	     400	      83	        0.830000E+02	        0.219062E+00
 411	     401	     389	      13	        0.130000E+02	        0.250915E+00
 412	     351	     195	       3	        0.300000E+01	        0.404579E+00
 413	     406	     386	      32	        0.320000E+02	        0.422112E+00
 414	     409	     408	      39	        0.390000E+02	        0.469528E+00
 415	     377	     402	      14	        0.140000E+02	        0.604591E+00
 416	     414	     413	      71	        0.710000E+02	        0.625500E+00
 417	     410	     411	      96	        0.960000E+02	        0.795495E+00
 418	     404	     412	      12	        0.120000E+02	        0.866339E+00
 419	     416	     181	      72	        0.720000E+02	        0.938486E+00
 420	     415	     407	      18	        0.180000E+02	        0.113499E+01
 421	     419	     378	      76	        0.760000E+02	        0.116102E+01
 422	     399	     405	      11	        0.110000E+02	        0.117293E+01
 423	     418	      14	      13	        0.130000E+02	        0.194359E+01
 424	     421	     422	      87	        0.870000E+02	        0.212389E+01
 425	     417	     420	     114	        0.114000E+03	        0.215759E+01
 426	     425	     424	     201	        0.201000E+03	        0.522097E+01
 427	     423	     426	     214	        0.214000E+03	        0.789576E+01
Somme des indices de niveau					        0.320106E+02
XXClassif-6	2	1
Description des noeuds de la hiérarchie (au dessus des noeuds terminaux)
Indices en pourcentage de la somme des indices (  32.01057)
Rang du noeud	Indice du noeud	Ainé	Benjamin	Effectif	Poids	Rang du premier noeud terminal	Rang du dernier noeud terminal
   215	        0.000000E+00	    34	    33	       2	        0.200000E+01	    33	    34
   216	        0.995135E-04	   164	   163	       2	        0.200000E+01	   163	   164
   217	        0.996281E-04	   196	   195	       2	        0.200000E+01	   195	   196
   218	        0.246452E-03	   217	   194	       3	        0.300000E+01	   194	   196
   219	        0.544721E-03	   178	   177	       2	        0.200000E+01	   177	   178
   220	        0.555047E-03	   120	   119	       2	        0.200000E+01	   119	   120
   221	        0.557691E-03	   161	   160	       2	        0.200000E+01	   160	   161
   222	        0.656704E-03	   180	   179	       2	        0.200000E+01	   179	   180
   223	        0.707424E-03	   184	   183	       2	        0.200000E+01	   183	   184
   224	        0.733103E-03	   197	   218	       4	        0.400000E+01	   194	   197
   225	        0.735719E-03	   168	   167	       2	        0.200000E+01	   167	   168
   226	        0.796006E-03	    15	    14	       2	        0.200000E+01	    14	    15
   227	        0.804465E-03	   156	   155	       2	        0.200000E+01	   155	   156
   228	        0.823112E-03	    26	    25	       2	        0.200000E+01	    25	    26
   229	        0.848012E-03	    58	    57	       2	        0.200000E+01	    57	    58
   230	        0.919762E-03	   176	   175	       2	        0.200000E+01	   175	   176
   231	        0.957899E-03	   166	   165	       2	        0.200000E+01	   165	   166
   232	        0.958647E-03	   193	   192	       2	        0.200000E+01	   192	   193
   233	        0.100240E-02	   173	   172	       2	        0.200000E+01	   172	   173
   234	        0.105454E-02	    39	    38	       2	        0.200000E+01	    38	    39
   235	        0.138522E-02	   190	   189	       2	        0.200000E+01	   189	   190
   236	        0.139396E-02	   207	   206	       2	        0.200000E+01	   206	   207
   237	        0.141676E-02	    48	    47	       2	        0.200000E+01	    47	    48
   238	        0.144771E-02	   150	   149	       2	        0.200000E+01	   149	   150
   239	        0.157719E-02	    43	    42	       2	        0.200000E+01	    42	    43
   240	        0.161090E-02	   157	   227	       3	        0.300000E+01	   155	   157
   241	        0.177169E-02	    73	    72	       2	        0.200000E+01	    72	    73
   242	        0.186322E-02	   216	   162	       3	        0.300000E+01	   162	   164
   243	        0.206537E-02	    59	   229	       3	        0.300000E+01	    57	    59
   244	        0.208142E-02	    41	    40	       2	        0.200000E+01	    40	    41
   245	        0.216103E-02	   114	   113	       2	        0.200000E+01	   113	   114
   246	        0.216331E-02	   139	   138	       2	        0.200000E+01	   138	   139
   247	        0.245637E-02	   224	   232	       6	        0.600000E+01	   192	   197
   248	        0.253841E-02	   159	   158	       2	        0.200000E+01	   158	   159
   249	        0.254855E-02	    62	    61	       2	        0.200000E+01	    61	    62
   250	        0.255890E-02	   225	   231	       4	        0.400000E+01	   165	   168
   251	        0.269092E-02	   201	   200	       2	        0.200000E+01	   200	   201
   252	        0.279341E-02	   147	   146	       2	        0.200000E+01	   146	   147
   253	        0.284882E-02	    69	    68	       2	        0.200000E+01	    68	    69
   254	        0.294242E-02	   247	   191	       7	        0.700000E+01	   191	   197
   255	        0.312681E-02	   171	   170	       2	        0.200000E+01	   170	   171
   256	        0.332702E-02	    23	    22	       2	        0.200000E+01	    22	    23
   257	        0.336682E-02	   254	   235	       9	        0.900000E+01	   189	   197
   258	        0.354437E-02	   243	    56	       4	        0.400000E+01	    56	    59
   259	        0.368326E-02	    76	    75	       2	        0.200000E+01	    75	    76
   260	        0.386692E-02	   248	   240	       5	        0.500000E+01	   155	   159
   261	        0.422034E-02	    36	    35	       2	        0.200000E+01	    35	    36
   262	        0.423423E-02	   140	   246	       3	        0.300000E+01	   138	   140
   263	        0.423723E-02	   242	   221	       5	        0.500000E+01	   160	   164
